Player,x,y,prediction
Timmy Allen,120.50422382562849,49.10578157665352,0
Amari Bailey,75.27985167307051,6.951259485213173,0
Emoni Bates,150.67687605320583,18.516139152065612,0
Jules Bernard,186.91277422724005,-2.188979738831737,0
Onuralp Bitim,295.55539666772444,50.011858011074644,0
Anthony Black,1315.0775720441902,294.84942327244505,2
Leaky Black,294.8324319453717,78.35942746767195,0
Kobe Brown,412.9717730298137,110.87177683372701,0
Kobe Bufkin,240.94784861877625,4.659968751649038,0
Toumani Camara,2004.0186201422869,363.6078947223219,2
D.J. Carton,63.793556300879274,15.959802055220706,0
Sidy Cissoko,154.64118004819494,27.607864260107544,0
Noah Clowney,483.87273684810725,50.46265134379111,0
Bilal Coulibaly,1951.509193506259,329.17196051066105,2
Ricky Council IV,385.57556421964216,-28.08133231042701,0
Dexter Dennis,43.80289336357396,-9.309774997325057,0
Gradey Dick,1580.198679257759,108.52178583533109,2
Henri Drell,35.07364030612866,3.6476220495649723,0
Tosan Evbuomwan,386.5924073233888,90.03050628281291,0
Jordan Ford,26.735667365700255,0.21115211646030935,0
Javon Freeman-Liberty,463.2723504999288,45.677505839298355,0
Alex Fudge,46.247220115494606,4.3757288111615,0
Keyonte George,2568.031552902797,-26.366644689841134,1
Collin Gillespie,263.07811296754943,27.20913229404484,0
Mouhamadou Gueye,129.4310352787997,26.672431116092604,0
Mouhamed Gueye,88.6272810997987,9.611101150111036,0
Jordan Hawkins,1521.1759947684488,17.04729814871756,2
Scoot Henderson,2327.0509604156887,-59.84168293004181,1
Taylor Hendricks,1022.3397527151066,144.28742230578797,2
D'Moi Hodge,46.94517754701297,5.275719029781855,0
Chet Holmgren,3235.5498992566568,-213.65941180953172,1
Jalen Hood-Schifino,126.29185170052354,11.400455674392493,0
Jett Howard,108.69555074385775,-4.609979162611376,0
Matthew Hurt,123.92817959381804,22.002906815409382,0
Andre Jackson Jr.,597.2642478552766,178.88763597439606,0
GG Jackson II,1591.4821114390832,-124.57006478145951,2
Trayce Jackson-Davis,1430.7137872399455,53.2077847060383,2
Jaime Jaquez Jr.,2516.228164641363,182.94752802139737,1
Colby Jones,223.3698451137038,25.306256301625343,0
Maxwell Lewis,99.66864296958863,39.54725782775293,0
E.J. Liddell,24.569178854984358,5.825826265929686,0
Dereck Lively II,1518.0316820248815,211.57708518313768,2
Chris Livingston,98.57355636903178,20.612617108355174,0
Seth Lundy,57.60879844925291,9.433401770954465,0
Vasilije Micić,1386.420853716098,170.24588765103212,2
Brandon Miller,3036.6683568767967,-143.6445393409998,1
Jordan Miller,33.21447122016958,2.0889003106362947,0
Leonard Miller,67.54683752939958,-1.8003142395682037,0
Dariq Whitehead,25.83008824528844,8.660233014629693,0
Taze Moore,50.134159515651604,-0.07500840471337669,0
Kris Murray,1510.2968695175603,287.1598659686498,2
Pete Nance,26.329867636752127,10.094811484699022,0
Mãozinha Pereira,142.19375212252766,12.468066582905102,0
Julian Phillips,390.2207415939179,83.60191513054195,0
Jalen Pickett,140.7723996958686,20.482870727251445,0
Brandin Podziemski,2327.570079293723,296.59643848351584,1
Craig Porter Jr.,788.1330052173976,42.04365815151013,0
Olivier-Maxence Prosper,390.22484203153573,40.1307606846053,0
Duop Reath,1535.8578180093737,-31.65263921679712,2
Rayan Rupert,696.5319182078068,160.28478031267537,0
Jermaine Samuels,65.9492271840545,12.329403881160184,0
Gui Santos,239.2165837271078,19.300222278629857,0
Marcus Sasser,1620.3791666562402,76.47940782864126,2
Brice Sensabaugh,733.3235576724632,32.97213503889146,0
Ben Sheppard,932.0820918351496,163.44330277830332,2
Nick Smith Jr.,863.7549850326657,49.287852688172435,0
Terquavion Smith,114.05027869776869,-13.517660039857748,0
Julian Strawther,693.8548289426875,29.314999619781005,0
Amen Thompson,1736.401044681384,101.89505137369252,2
Ausar Thompson,1814.4123941283392,214.18471223606173,2
Jacob Toppin,46.82141067912054,9.37353539010948,0
Sasha Vezenkov,616.3818448062566,23.464585591648493,0
Tristan Vukcevic,200.05515450457523,-14.50892107738714,0
Jarace Walker,429.80008082337343,42.83035470540704,0
Cason Wallace,1940.1038860172287,336.2304423084727,2
Jordan Walsh,100.12045867000941,33.37666325907618,0
Victor Wembanyama,3124.7165892660964,-652.9842294246497,1
Cam Whitmore,1259.6989625656238,-183.25974654461726,2
Malik Williams,115.34427546359788,27.6345197821648,0
Jalen Wilson,802.7665530008757,130.1939097998742,0
